fiscal_year,revenue,gross_profit,operating_income,net_income,prior_year_revenue,revenue_yoy_change,revenue_yoy_growth_pct,gross_margin_pct,operating_margin_pct,net_margin_pct,operating_income_yoy_growth_pct,net_income_yoy_growth_pct
2010,,,24098000000,18760000000,,,,,,,,
2011,,,27161000000,23150000000,,,,,,,12.71,23.4
2012,,,13769000000,10354000000,,,,,,,-49.31,-55.27
2013,,57600000000,26764000000,21863000000,,,,,,,94.38,111.16
2014,,59899000000,27759000000,22074000000,,,,,,,3.72,0.97
2015,,60542000000,18161000000,12193000000,,,,,,,-34.58,-44.76
2016,,52540000000,20182000000,16496000000,,,,,,,11.13,35.29
2017,,55689000000,22326000000,21204000000,,,,,,,10.62,28.54
2018,,72007000000,35058000000,16571000000,,,,,,,57.03,-21.85
2019,125843000000,82933000000,42959000000,39240000000,,,,65.9,34.14,31.18,22.54,136.8
2020,143015000000,96937000000,52959000000,44281000000,125843000000,17172000000,13.65,67.78,37.03,30.96,23.28,12.85
2021,168088000000,115856000000,69916000000,61271000000,143015000000,25073000000,17.53,68.93,41.59,36.45,32.02,38.37
2022,198270000000,135620000000,83383000000,72738000000,168088000000,30182000000,17.96,68.4,42.06,36.69,19.26,18.72
2023,211915000000,146052000000,88523000000,72361000000,198270000000,13645000000,6.88,68.92,41.77,34.15,6.16,-0.52
2024,245122000000,171008000000,109433000000,88136000000,211915000000,33207000000,15.67,69.76,44.64,35.96,23.62,21.8
2025,281724000000,193893000000,128528000000,101832000000,245122000000,36602000000,14.93,68.82,45.62,36.15,17.45,15.54
2026,331839000000,225465000000,155237000000,133749000000,281724000000,50115000000,17.79,67.94,46.78,40.31,20.78,31.34
