fiscal_year,fiscal_period,quarter_number,revenue,gross_profit,operating_income,net_income,previous_quarter_revenue,prior_year_quarter_revenue,revenue_qoq_change,revenue_qoq_growth_pct,revenue_yoy_change,revenue_yoy_growth_pct,gross_margin_pct,operating_margin_pct,net_margin_pct
2010,Q1,1,,,4482000000,3574000000,,,,,,,,,
2010,Q2,2,,,8513000000,6662000000,,,,,,,,,
2010,Q3,3,,,5173000000,4006000000,,,,,,,,,
2010,Q4,4,,,5930000000,4518000000,,,,,,,,,
2011,Q1,1,,,7116000000,5410000000,,,,,,,,,
2011,Q2,2,,,8165000000,6634000000,,,,,,,,,
2011,Q3,3,,,5709000000,5232000000,,,,,,,,,
2011,Q4,4,,,6171000000,5874000000,,,,,,,,,
2012,Q1,1,,,7203000000,5738000000,,,,,,,,,
2012,Q3,3,,,6374000000,5108000000,,,,,,,,,
2012,Q4,4,,,192000000,-492000000,,,,,,,,,
2013,Q1,1,,11840000000,5308000000,4466000000,,,,,,,,,
2013,Q2,2,,15764000000,7771000000,6377000000,,,,,,,,,
2013,Q3,3,,15702000000,7612000000,6055000000,,,,,,,,,
2013,Q4,4,,14294000000,6073000000,4965000000,,,,,,,,,
2014,Q1,1,,13415000000,6334000000,5244000000,,,,,,,,,
2014,Q2,2,,16235000000,7969000000,6558000000,,,,,,,,,
2014,Q3,3,,14462000000,6974000000,5660000000,,,,,,,,,
2014,Q4,4,,15787000000,6482000000,4612000000,,,,,,,,,
2015,Q1,1,,14928000000,5844000000,4540000000,,,,,,,,,
2015,Q2,2,,16334000000,7776000000,5863000000,,,,,,,,,
2015,Q3,3,,14568000000,6594000000,4985000000,,,,,,,,,
2015,Q4,4,,14712000000,-2053000000,-3195000000,,,,,,,,,
2016,Q1,1,,13172000000,5793000000,4620000000,,,,,,,,,
2016,Q2,2,,13924000000,6026000000,4998000000,,,,,,,,,
2016,Q3,3,,12809000000,5283000000,3756000000,,,,,,,,,
2016,Q4,4,,12635000000,3080000000,3122000000,,,,,,,,,
2017,Q1,1,,12609000000,5225000000,4690000000,,,,,,,,,
2017,Q2,2,,14189000000,6177000000,5200000000,,,,,,,,,
2017,Q3,3,,14030000000,5594000000,4801000000,,,,,,,,,
2017,Q4,4,,14861000000,5330000000,6513000000,,,,,,,,,
2018,Q1,1,,16260000000,7708000000,6576000000,,,,,,,,,
2018,Q2,2,,17854000000,8679000000,-6302000000,,,,,,,,,
2018,Q3,3,,17550000000,8292000000,7424000000,,,,,,,,,
2018,Q4,4,,20343000000,10379000000,8873000000,,,,,,,,,
