fiscal_year,fiscal_period,revenue,gross_profit,operating_income,net_income
2010,Q1,,,4482000000,3574000000
2010,Q2,,,8513000000,6662000000
2010,Q3,,,5173000000,4006000000
2010,Q4,,,5930000000,4518000000
2011,Q1,,,7116000000,5410000000
2011,Q2,,,8165000000,6634000000
2011,Q3,,,5709000000,5232000000
2011,Q4,,,6171000000,5874000000
2012,Q1,,,7203000000,5738000000
2012,Q3,,,6374000000,5108000000
2012,Q4,,,192000000,-492000000
2013,Q1,,11840000000,5308000000,4466000000
2013,Q2,,15764000000,7771000000,6377000000
2013,Q3,,15702000000,7612000000,6055000000
2013,Q4,,14294000000,6073000000,4965000000
2014,Q1,,13415000000,6334000000,5244000000
2014,Q2,,16235000000,7969000000,6558000000
2014,Q3,,14462000000,6974000000,5660000000
2014,Q4,,15787000000,6482000000,4612000000
2015,Q1,,14928000000,5844000000,4540000000
2015,Q2,,16334000000,7776000000,5863000000
2015,Q3,,14568000000,6594000000,4985000000
2015,Q4,,14712000000,-2053000000,-3195000000
2016,Q1,,13172000000,5793000000,4620000000
2016,Q2,,13924000000,6026000000,4998000000
2016,Q3,,12809000000,5283000000,3756000000
2016,Q4,,12635000000,3080000000,3122000000
2017,Q1,,12609000000,5225000000,4690000000
2017,Q2,,14189000000,6177000000,5200000000
2017,Q3,,14030000000,5594000000,4801000000
2017,Q4,,14861000000,5330000000,6513000000
2018,Q1,,16260000000,7708000000,6576000000
2018,Q2,,17854000000,8679000000,-6302000000
2018,Q3,,17550000000,8292000000,7424000000
2018,Q4,,20343000000,10379000000,8873000000
2019,Q1,29084000000,19179000000,9955000000,8824000000
2019,Q2,32471000000,20048000000,10258000000,8420000000
2019,Q3,30571000000,20401000000,10341000000,8809000000
2019,Q4,33717000000,23305000000,12405000000,13187000000
2020,Q1,33055000000,22649000000,12686000000,10678000000
2020,Q2,36906000000,24548000000,13891000000,11649000000
2020,Q3,35021000000,24046000000,12975000000,10752000000
2020,Q4,38033000000,25694000000,13407000000,11202000000
2021,Q1,37154000000,26152000000,15876000000,13893000000
2021,Q2,43076000000,28882000000,17897000000,15463000000
2021,Q3,41706000000,28661000000,17048000000,15457000000
2021,Q4,46152000000,32161000000,19095000000,16458000000
2022,Q1,45317000000,31671000000,20238000000,20505000000
2022,Q2,51728000000,34768000000,22247000000,18765000000
2022,Q3,49360000000,33745000000,20364000000,16728000000
2022,Q4,51865000000,35436000000,20534000000,16740000000
2023,Q1,50122000000,34670000000,21518000000,17556000000
2023,Q2,52747000000,35259000000,20399000000,16425000000
2023,Q3,52857000000,36729000000,22352000000,18299000000
2023,Q4,56189000000,39394000000,24254000000,20081000000
2024,Q1,56517000000,40215000000,26895000000,22291000000
2024,Q2,62020000000,42397000000,27032000000,21870000000
2024,Q3,61858000000,43353000000,27581000000,21939000000
2024,Q4,64727000000,45043000000,27925000000,22036000000
2025,Q1,65585000000,45486000000,30552000000,24667000000
2025,Q2,69632000000,47833000000,31653000000,24108000000
2025,Q3,70066000000,48147000000,32000000000,25824000000
2025,Q4,76441000000,52427000000,34323000000,27233000000
2026,Q1,77673000000,53630000000,37961000000,27747000000
2026,Q2,81273000000,55295000000,38275000000,38458000000
2026,Q3,82886000000,56058000000,38398000000,31778000000
2026,Q4,90007000000,60482000000,40603000000,35766000000
