fiscal_year,fiscal_period,revenue,gross_profit,operating_income,net_income,gross_margin_pct,operating_margin_pct,net_margin_pct
2018,Q1,24538000000,16260000000,7708000000,6576000000,66.26,31.41,26.8
2018,Q2,28918000000,17854000000,8679000000,-6302000000,61.74,30.01,-21.79
2018,Q3,26819000000,17550000000,8292000000,7424000000,65.44,30.92,27.68
2019,Q1,29084000000,19179000000,9955000000,8824000000,65.94,34.23,30.34
2019,Q2,32471000000,20048000000,10258000000,8420000000,61.74,31.59,25.93
2019,Q3,30571000000,20401000000,10341000000,8809000000,66.73,33.83,28.81
2020,Q1,33055000000,22649000000,12686000000,10678000000,68.52,38.38,32.3
2020,Q2,36906000000,24548000000,13891000000,11649000000,66.51,37.64,31.56
2020,Q3,35021000000,24046000000,12975000000,10752000000,68.66,37.05,30.7
2021,Q1,37154000000,26152000000,15876000000,13893000000,70.39,42.73,37.39
2021,Q2,43076000000,28882000000,17897000000,15463000000,67.05,41.55,35.9
2021,Q3,41706000000,28661000000,17048000000,15457000000,68.72,40.88,37.06
2022,Q1,45317000000,31671000000,20238000000,20505000000,69.89,44.66,45.25
2022,Q2,51728000000,34768000000,22247000000,18765000000,67.21,43.01,36.28
2022,Q3,49360000000,33745000000,20364000000,16728000000,68.37,41.26,33.89
2023,Q1,50122000000,34670000000,21518000000,17556000000,69.17,42.93,35.03
2023,Q2,52747000000,35259000000,20399000000,16425000000,66.85,38.67,31.14
2023,Q3,52857000000,36729000000,22352000000,18299000000,69.49,42.29,34.62
2024,Q1,56517000000,40215000000,26895000000,22291000000,71.16,47.59,39.44
2024,Q2,62020000000,42397000000,27032000000,21870000000,68.36,43.59,35.26
2024,Q3,61858000000,43353000000,27581000000,21939000000,70.08,44.59,35.47
2025,Q1,65585000000,45486000000,30552000000,24667000000,69.35,46.58,37.61
2025,Q2,69632000000,47833000000,31653000000,24108000000,68.69,45.46,34.62
2025,Q3,70066000000,48147000000,32000000000,25824000000,68.72,45.67,36.86
2026,Q1,77673000000,53630000000,37961000000,27747000000,69.05,48.87,35.72
2026,Q2,81273000000,55295000000,38275000000,38458000000,68.04,47.09,47.32
2026,Q3,82886000000,56058000000,38398000000,31778000000,67.63,46.33,38.34
