metric,sec_metric,start_date,end_date,fiscal_year,fiscal_period,value,form,filed_date,accession_number
net_income,NetIncomeLoss,2009-07-01,2009-09-30,2010,Q1,3574000000,10-Q,2009-10-23,0001193125-09-212454
operating_income,OperatingIncomeLoss,2009-07-01,2009-09-30,2010,Q1,4482000000,10-Q,2009-10-23,0001193125-09-212454
net_income,NetIncomeLoss,2009-10-01,2009-12-31,2010,Q2,6662000000,10-Q,2010-01-28,0001193125-10-015598
operating_income,OperatingIncomeLoss,2009-10-01,2009-12-31,2010,Q2,8513000000,10-Q,2010-01-28,0001193125-10-015598
net_income,NetIncomeLoss,2010-01-01,2010-03-31,2010,Q3,4006000000,10-Q,2010-04-22,0001193125-10-090116
operating_income,OperatingIncomeLoss,2010-01-01,2010-03-31,2010,Q3,5173000000,10-Q,2010-04-22,0001193125-10-090116
net_income,NetIncomeLoss,2010-04-01,2010-06-30,2010,Q4,4518000000,DERIVED,2010-07-30,0001193125-10-171791 | 0001193125-10-090116
operating_income,OperatingIncomeLoss,2010-04-01,2010-06-30,2010,Q4,5930000000,DERIVED,2010-07-30,0001193125-10-171791 | 0001193125-10-090116
net_income,NetIncomeLoss,2010-07-01,2010-09-30,2011,Q1,5410000000,10-Q,2010-10-28,0001193125-10-239825
operating_income,OperatingIncomeLoss,2010-07-01,2010-09-30,2011,Q1,7116000000,10-Q,2010-10-28,0001193125-10-239825
net_income,NetIncomeLoss,2010-10-01,2010-12-31,2011,Q2,6634000000,10-Q,2011-01-27,0001193125-11-015947
operating_income,OperatingIncomeLoss,2010-10-01,2010-12-31,2011,Q2,8165000000,10-Q,2011-01-27,0001193125-11-015947
net_income,NetIncomeLoss,2011-01-01,2011-03-31,2011,Q3,5232000000,10-Q,2011-04-28,0001193125-11-115186
operating_income,OperatingIncomeLoss,2011-01-01,2011-03-31,2011,Q3,5709000000,10-Q,2011-04-28,0001193125-11-115186
net_income,NetIncomeLoss,2011-04-01,2011-06-30,2011,Q4,5874000000,DERIVED,2011-07-28,0001193125-11-200680 | 0001193125-11-115186
operating_income,OperatingIncomeLoss,2011-04-01,2011-06-30,2011,Q4,6171000000,DERIVED,2011-07-28,0001193125-11-200680 | 0001193125-11-115186
net_income,NetIncomeLoss,2011-07-01,2011-09-30,2012,Q1,5738000000,10-Q,2011-10-20,0001193125-11-276022
operating_income,OperatingIncomeLoss,2011-07-01,2011-09-30,2012,Q1,7203000000,10-Q,2011-10-20,0001193125-11-276022
net_income,NetIncomeLoss,2012-01-01,2012-03-31,2012,Q3,5108000000,10-Q,2012-04-19,0001193125-12-170665
operating_income,OperatingIncomeLoss,2012-01-01,2012-03-31,2012,Q3,6374000000,10-Q,2012-04-19,0001193125-12-170665
net_income,NetIncomeLoss,2012-04-01,2012-06-30,2012,Q4,-492000000,DERIVED,2012-07-26,0001193125-12-316848 | 0001193125-12-170665
operating_income,OperatingIncomeLoss,2012-04-01,2012-06-30,2012,Q4,192000000,DERIVED,2012-07-26,0001193125-12-316848 | 0001193125-12-170665
gross_profit,GrossProfit,2012-07-01,2012-09-30,2013,Q1,11840000000,10-Q,2012-10-18,0001193125-12-427209
net_income,NetIncomeLoss,2012-07-01,2012-09-30,2013,Q1,4466000000,10-Q,2012-10-18,0001193125-12-427209
operating_income,OperatingIncomeLoss,2012-07-01,2012-09-30,2013,Q1,5308000000,10-Q,2012-10-18,0001193125-12-427209
gross_profit,GrossProfit,2012-10-01,2012-12-31,2013,Q2,15764000000,10-Q,2013-01-24,0001193125-13-022207
net_income,NetIncomeLoss,2012-10-01,2012-12-31,2013,Q2,6377000000,10-Q,2013-01-24,0001193125-13-022207
operating_income,OperatingIncomeLoss,2012-10-01,2012-12-31,2013,Q2,7771000000,10-Q,2013-01-24,0001193125-13-022207
gross_profit,GrossProfit,2013-01-01,2013-03-31,2013,Q3,15702000000,10-Q,2013-04-18,0001193125-13-160748
net_income,NetIncomeLoss,2013-01-01,2013-03-31,2013,Q3,6055000000,10-Q,2013-04-18,0001193125-13-160748
